Timestamp;byte_s;Seq;Cmd;hurtType;armorType
6552079;210;4;8;0;0
6553078;210;4;8;0;0
6554075;210;4;8;0;0
6555079;210;4;8;0;0
6556079;210;4;8;0;0
6557078;210;4;8;0;0
6558076;210;4;8;0;0
6559079;210;4;8;0;0
6560091;210;4;8;0;0
6561078;210;4;8;0;0
6562080;210;4;8;0;0
6563079;210;4;8;0;0
6564078;210;4;8;0;0
6565075;210;4;8;0;0
6566078;210;4;8;0;0
6567079;2;0;0;0;0
6568077;0;6;4;0;0
6569080;63;6;4;0;0
6570078;165;0;0;0;0
6571090;0;0;0;0;0
6572078;120;0;0;0;0
6573079;106;0;0;0;0
6574080;106;0;0;0;0
6575078;106;0;0;0;0
6576080;106;0;0;0;0
6577078;106;0;0;0;0
6578075;106;0;0;0;0
6579079;106;0;0;0;0
6580080;106;0;0;0;0
6581178;106;0;0;0;0
6582075;106;0;0;0;0
6583079;106;0;0;0;0
6584080;106;0;0;0;0
6585078;106;0;0;0;0
6586080;106;0;0;0;0
6587077;213;8;4;0;0
6588075;223;8;4;0;0
6589079;73;8;0;0;0
6590080;0;0;0;0;0
6591078;0;0;0;0;0
6592092;85;0;0;0;0
6593078;85;0;0;0;0
6594079;85;0;0;0;0
6595080;85;0;0;0;0
6596078;85;0;0;0;0
6597080;85;0;0;0;0
6598078;85;0;0;0;0
6599080;85;0;0;0;0
6600077;85;0;0;0;0
6601080;85;0;0;0;0
6602091;85;0;0;0;0
6603078;85;0;0;0;0
6604079;85;0;0;0;0
6605080;85;0;0;0;0
6606078;85;0;0;0;0
6607080;105;10;4;0;0
6608078;239;10;4;0;0
6609080;52;10;0;0;0
6610078;0;0;0;0;0
6611080;88;0;0;0;0
6612078;0;12;1;0;0
6613092;148;12;1;0;0
6614078;148;12;1;0;0
6615080;148;12;1;0;0
6616079;148;12;1;0;0
6617078;148;12;1;0;0
6618076;148;12;1;0;0
6619079;148;12;1;0;0
6620079;148;12;1;0;0
6621078;148;12;1;0;0
